"GEONAME_H";"CAT";"C_ROZH";"ROK_ST";"D_ROZH";"GN_ID"
"Olöiansky les";"Les";"P-98/1990";2007;"08.02.1990";{367A4D53-B9F3-4C55-A383-5613640F2DA1}
"Majöa";"Les";"P-255/1992";2008;"16.06.1992";{B6A8CE64-72DE-4799-9E8F-D73F274AF7CB}
"Pri trnavskom chot·ri";"Pole";"P-386/1992";2009;"23.09.1992";{2B9C4C73-06A5-49D3-883A-256762DAE356}
"MalÈ Z·luûie";"RybnÌk, rybnÌky";"P-190/1988";2007;"01.07.1988";{79012AE8-1F6E-475D-B46D-057616623B49}
"Svinnica";"Vodn˝ tok";"P-108/1978";2005;"30.03.1978";{0D4028F1-4497-4B72-8AC2-6C1BBDE195B8}
"Za Golatom";"Pole";"P-261/1984";2016;"28.09.1984";{D5F28FF6-15B7-40BA-8090-2D77083E7B23}
"Pohrebiöte";"Vrch";"P-108/1978";1991;"30.03.1978";{73C9BC31-B04E-4EF6-8AA4-73B4947E86F7}
"Lys·";"Vrch";"P-378/1975";1993;"19.11.1975";{4035AD99-2BB3-49B5-BFF4-F52E3927E63C}
"Holub‰cia";"Les";"P-244/1986";2007;"29.07.1986";{3741E743-D799-406D-9495-8E493794493D}
"Trnavka";"Vodn˝ tok";"P-108/1978";2005;"30.03.1978";{5CF9EE6C-727E-4262-B0DF-090B2BE53683}
"ätefanikovec";"Vrch";"P-164/1976";1994;"23.06.1976";{98D98A1B-A906-4B40-9308-35C2E9B3A22D}
"Rakytov·";"Pole";"P-212/1983";2007;"21.10.1982";{3DD0F1DE-4496-44BF-96C0-D56C7A1E9DA9}
"Chot·rny potok";"Vodn˝ tok";"P-378/1975";1990;"19.11.1975";{C0977BCD-69B1-4F5D-8C3F-7648866649DC}
"Za Sokolovom";"Les";"P-164/1976";1990;"23.06.1976";{4CDB9459-6B16-4968-B622-914580270D24}
"Jasina od äùavia";"Les";"P-321/1990";2007;"16.07.1990";{FC542F94-BBEF-4CE4-BE21-135A39EB8A5F}
"Borsuöia";"Hor·reÚ";"P-221/1981";1994;"09.09.1981";{5B3CC583-825D-48DA-811B-E1C93E700B7B}
"Bykarka";"Vrch";"P-378/1975";1992;"19.11.1975";{A6F32FC8-44AB-44A4-9DF4-B806650F62FA}
"Pod Vrchom";"Les";"GK-1423/1993";2006;"28.07.1993";{EAB1176C-7A9D-44A9-8C46-021E33B9ECDB}
"Niûniansky";"Les";"P-196/1988";2013;"11.07.1988";{A7887B44-55B3-43BC-B942-994CC886DE41}
"HornÈ hony";"Les";"P-108/1978";1991;"30.03.1979";{E3E85A72-8791-4ABE-88CE-34DFA932DDC6}
"Gomb·Ë";"Pole";"P-108/1978";1993;"30.03.1978";{0514E951-92FB-4E48-9687-CF2FBE179EAE}
"Bodrog-Kamenec";"Kan·l, n·hon";"P-425/1990";2007;"31.10.1990";{05E7F271-6657-4393-A39F-D793585BB484}
"Polkov·";"Majer, osada, samota, miestna Ëasù";"P-221/1981";1994;"09.09.1981";{B0490446-5D55-4A39-A239-268567226CB1}
"VelickÈ vodop·dy";"Vodop·d";"P-42/1988";2013;"04.02.1988";{38840106-E627-4105-90B8-85053AFEA193}
"ätefanka";"BaÚa, öachta, ötÙlÚa";"P-365/1990";2013;"28.08.1990";{FDFB58C0-1822-4B01-896E-719BC4AEB993}
"Nad vyhorencom";"Vrch";"P-108/1978";1991;"30.03.1978";{996DAEDB-92D9-49BE-A380-ECF044878AF9}
"Lazy";"Pole";"P-108/1978";1985;"30.03.1978";{56150A80-0F1B-43AF-A033-9CF2F79060B3}
"K˝Ëera";"Vrch";"P-108/1978";1989;"30.03.1978";{DDE418E1-14C3-46CB-8018-FE8C6370A513}
"Oponick˝ jarok";"Vodn˝ tok";"P-111/1985";2007;"05.05.1985";{B50FD805-D1D3-49D9-8FD4-5051B328E355}
"Priepasn˝ potok";"Vodn˝ tok";"P-108/1978";2003;"30.03.1978";{13E8DD99-8FAB-492D-B779-C65543C91A69}
"Kæakalov·";"Les";"GK-1423/1993";2012;"28.07.1993";{B6827B6C-431F-4C4A-9BEE-7D83D1223C46}
"Oreöianka";"Kan·l, n·hon";"P-108/1978";2007;"30.03.1978";{D01E89FB-A5C8-4EF6-A3D0-4AAAB71B7F02}
"SerafÌnovci";"Majer, osada, samota, miestna Ëasù";"P-221/1981";1994;"09.09.1981";{9EF83A10-C407-4926-A5A9-5CEAD20F1519}
"Bahensk˝ kan·l";"Vodn˝ tok";"P-108/1978";2007;"30.03.1978";{1B00BABB-8128-454A-B956-D54579FAAE51}
"Cigarky";"HrebeÚ, chrb·t";"P-378/1975";1992;"19.11.1975";{EF39D905-9622-4A90-A660-B767E72D799F}
"Podh·j";"Pole";"P-108/1978";1985;"30.03.1978";{D393DE9A-79E3-425E-A0DF-262820578765}
"DubnÌk";"Pole";"P-108/1978";1985;"30.03.1978";{BB066260-D090-4D27-8AC5-09331D6CB404}
"Koryt·rka";"Vodn˝ tok";"P-108/1978";1989;"30.03.1978";{BFE935B0-BDB1-4C2C-98D2-57EA16268CEC}
"Nitra";"Vodn˝ tok";"P-108/1978";1993;"30.03.1978";{AB4AD743-F57D-46AA-8C24-87055B37DD51}
"Horeösk˝ kan·l";"Kan·l, n·hon";"P-378/1975";2005;"19.11.1975";{8FD2AFBE-8FA2-4946-8776-6D1E4530A9BF}
"Radsk˝ kan·l";"Kan·l, n·hon";"P-378/1975";2007;"31.10.1990";{AF9FD3D7-FA52-4E1F-8327-34549BCFEF85}
"»alovo-Holiare";"Kan·l, n·hon";"P-108/1978";2005;"30.03.1978";{ED70BCEF-AC24-45DB-8FE7-347C32992A88}
"Dolina";"Vodn˝ tok";"P-365/1990";2007;"28.08.1990";{7A08192B-9AC8-420D-93DD-D232BFE7185D}
"»achtick˝ kan·l";"Vodn˝ tok";"P-108/1978";1991;"30.03.1978";{3D424DEB-B779-4992-810A-E3523237B32A}
"Hlbok·";"Les";"P-378/1975";1988;"19.11.1975";{0375AB85-ABCB-46C0-9C99-34B0D8CF943D}
"Lindavsk˝ les";"Les";"P-108/1978";1983;"30.03.1978";{3832D439-B446-4AA7-8E62-A799406EAC53}
"cesta Slobody";"Cesta";"P-42/1988";2007;"04.02.1988";{B03717F2-7135-4712-8677-2A80B1CD66E0}
"DrieÚok";"Vodn˝ tok";"P-164/1976";2007;"23.06.1976";{DED5E316-B20B-4256-A9B9-50D32AA2C352}
"OËkovsk˝ potok";"Kan·l, n·hon";"P-108/1978";2010;"30.03.1978";{48EF183B-1675-4A80-99B6-531EA58FCA35}
